Transaction Date,Amount,Province,City,Description,Category
2022-11-18,-19.2,BC,VANCOUVER,AKBAR'S OWN DINING LOU,
2022-11-17,-21.06,BC,VANCOUVER,LA TAQUERIA PINCHE TAC,
2022-11-16,-13.9,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
2022-11-15,-12.9,BC,VANCOUVER,SAVE ON FOODS #937,
2022-11-14,-7.61,BC,Vancouver,SQ *OBANHMI VANCOUVER,
2022-11-12,-22.62,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-11-12,-14.48,BC,VANCOUVER,SAUCIN STAPLES,
2022-11-11,-52.49,BC,VANCOUVER,POPEYE'S SUPPLEMENTS K,
2022-11-11,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-11-11,-41.24,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-11-10,-2.41,BC,VANCOUVER,EMELLES CATERING,
2022-11-10,-16.9,BC,VANCOUVER,EMELLES CATERING,
2022-11-10,-3.35,ON,TORONTO,UBER* EATS,Eating Out
2022-11-09,-22.36,ON,TORONTO,UBER* EATS,Eating Out
2022-11-08,-18.47,BC,VANCOUVER,SAVE ON FOODS #937,
2022-11-06,-20.98,BC,VANCOUVER,PARALLEL 49 BREWING CO,
2022-11-07,-693.77,AB,CALGARY,SQ *CONTEMPORARY OFFIC,
2022-11-05,-18.9,BC,BURNABY,PANAGO #33,
2022-11-05,-27.5,BC,BURNABY,SOLO KARAOKE,
2022-11-04,-30.16,BC,VANCOUVER,UNIVERSITY PHARMACY,
2022-11-04,-29.87,BC,VANCOUVER,KOKORO TOKYO MAZESOBA,
2022-11-04,-6.71,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-11-03,-21.17,BC,VANCOUVER,PEPPER LUNCH,
2022-11-01,-41.99,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-10-30,-78.38,AZ,TUCSON,SP FANGAMER,
2022-10-30,-31.5,BC,VANCOUVER,I SUSHI,Eating Out
2022-10-28,-13.9,BC,VANCOUVER,SUMIRE SUSHI,Eating Out
